crop,temperature,rainfall,N,P,K,ph,humidity,fertilizer_used,irrigation_used,yield_tons_per_ha
wheat,18.66,359.47,75.1,98.9,150.0,8.403,17.17,0,1,2.09
cotton,21.34,385.41,89.0,101.0,98.5,3.862,92.99,1,0,1.095
cotton,31.79,758.73,120.4,21.9,187.0,9.002,74.91,1,1,1.443
cotton,34.33,159.99,28.3,97.1,93.7,5.39,50.0,1,1,0.967
rice,22.42,441.58,29.0,96.6,88.2,4.668,73.26,1,1,2.906
cotton,34.26,601.13,117.4,41.3,62.9,7.906,32.29,0,0,1.15
soybeans,19.3,704.44,53.8,65.5,200.9,4.076,93.31,1,1,1.757
cassava,19.77,738.77,54.4,53.0,9.4,5.84,90.5,1,0,4.105
maize,20.17,556.35,101.6,130.6,182.4,8.569,69.21,0,0,2.374
cassava,14.99,264.2,44.1,88.0,76.7,3.634,22.33,0,1,8.527
soybeans,22.34,439.76,139.8,15.0,13.7,4.912,97.51,1,1,0.837
wheat,30.45,1070.62,78.8,89.1,119.9,4.032,71.64,1,0,1.496
cassava,38.39,1159.6,102.3,29.2,125.8,6.943,98.49,1,1,4.437
cassava,23.86,977.42,63.8,69.1,8.3,4.631,56.01,1,0,3.585
soybeans,26.07,248.8,75.4,25.4,115.6,7.717,47.56,1,1,1.526
cotton,17.56,1188.08,60.7,33.2,135.2,8.263,24.76,0,0,1.119
cotton,29.33,312.07,36.0,129.3,70.4,7.183,48.19,0,0,0.943
soybeans,16.33,396.16,128.5,15.9,90.5,6.961,91.29,1,1,0.812
cotton,28.77,646.18,32.8,77.0,164.5,8.911,86.8,0,1,1.152
maize,18.45,1446.87,1.4,105.2,146.2,7.547,99.15,0,0,1.263
cotton,11.67,1089.65,14.0,24.6,36.9,9.538,72.76,1,1,0.989
cotton,28.91,70.83,118.7,106.2,111.2,8.249,22.11,1,0,0.959
cassava,20.62,1495.25,60.8,8.4,77.5,4.331,24.44,0,0,3.41
maize,35.94,274.64,11.6,72.8,65.5,7.162,83.13,0,1,1.497
rice,28.02,1038.66,139.1,37.5,129.8,6.492,17.39,0,0,1.322
soybeans,26.74,132.09,23.8,44.9,61.5,7.877,15.58,1,0,1.606
cassava,21.07,203.14,102.5,49.9,58.1,7.74,62.07,0,1,10.548
cassava,27.04,1260.93,27.0,104.3,17.3,9.473,20.97,1,0,3.84
wheat,12.21,833.02,38.9,133.1,95.3,9.34,39.72,0,1,1.62
wheat,21.67,977.63,59.9,11.6,105.7,3.928,90.0,1,0,1.634
cassava,39.63,687.44,90.9,12.1,135.7,9.034,95.05,1,0,4.257
maize,16.66,385.06,94.1,7.8,25.8,8.699,29.35,1,0,2.363
cotton,14.83,786.87,1.6,47.1,191.7,5.518,45.0,1,1,0.848
rice,15.79,327.1,107.6,42.2,158.4,4.838,41.67,1,1,3.503
soybeans,28.31,273.26,111.1,114.9,52.5,5.376,94.67,1,1,0.897
maize,25.79,1110.8,11.4,13.4,54.4,4.537,88.97,0,1,1.548
cassava,32.0,574.58,26.1,51.5,117.7,8.222,55.44,1,0,4.269
soybeans,30.83,212.11,79.1,39.8,91.3,7.621,36.1,0,0,1.009
rice,22.21,643.34,76.2,81.1,104.4,4.376,56.66,0,0,1.942
cotton,29.99,608.24,112.4,108.4,152.0,9.904,39.39,1,1,1.147
maize,17.81,281.26,22.5,14.9,42.1,7.817,89.83,1,1,1.847
maize,10.5,1009.49,84.3,27.8,51.8,3.654,85.81,1,0,1.983
cassava,38.79,415.75,9.9,73.9,22.1,5.202,24.83,0,0,5.453
soybeans,17.9,55.7,69.4,19.0,155.9,5.294,52.15,0,0,0.944
maize,11.86,153.18,80.3,84.2,180.6,7.126,96.54,0,0,2.02
maize,35.12,397.74,27.3,75.7,158.7,3.903,63.61,0,0,1.763
cassava,16.1,184.7,8.8,42.5,119.4,9.77,89.3,1,0,7.056
wheat,21.87,652.6,90.1,97.7,35.9,6.747,81.98,1,0,2.06
wheat,25.34,1377.11,6.9,118.6,18.1,4.324,24.26,1,0,1.105
soybeans,27.15,709.77,20.9,68.0,60.7,9.631,90.03,0,1,1.687
soybeans,10.04,519.58,30.8,141.0,150.4,5.773,21.98,1,0,1.602
maize,32.63,1381.72,133.1,85.8,76.4,8.619,35.59,1,0,1.717
maize,28.02,291.07,53.2,91.4,199.0,8.23,93.34,1,1,2.593
cassava,27.31,661.26,83.6,137.6,43.6,9.388,18.6,0,0,3.199
rice,38.77,939.43,36.6,14.4,10.6,5.091,89.81,1,1,1.384
cotton,19.59,685.25,65.9,44.0,81.0,7.39,63.9,1,0,1.301
cotton,13.14,1204.78,35.3,13.2,85.2,8.829,24.88,1,0,0.981
soybeans,10.85,248.75,24.2,12.6,136.3,8.941,46.11,1,0,1.317
wheat,31.46,1003.49,26.3,20.6,137.2,7.896,45.49,1,1,1.525
cotton,39.94,1265.74,78.0,32.1,141.3,9.595,32.22,0,0,1.119
soybeans,31.26,244.93,114.0,89.9,194.9,5.707,23.3,1,0,0.784
maize,12.47,1036.72,91.6,43.3,195.2,4.482,51.18,1,0,1.953
cassava,19.54,541.32,105.2,114.9,50.9,9.824,21.27,0,1,3.973
cotton,17.57,707.19,89.5,127.8,109.9,5.928,88.56,0,0,1.069
maize,11.64,1460.96,31.7,47.6,65.8,4.998,14.13,1,1,1.298
wheat,34.82,1031.04,66.0,133.2,83.4,5.028,70.88,1,0,1.659
cotton,39.65,927.46,118.2,15.2,74.7,8.294,70.34,0,0,1.157
wheat,23.36,1440.64,85.2,34.8,142.9,4.837,43.18,0,0,1.148
wheat,28.28,882.22,61.7,69.8,195.9,4.4,52.37,1,0,1.842
soybeans,35.43,1150.45,41.6,64.7,42.2,4.222,76.16,0,1,1.465
cassava,12.8,1409.8,115.7,125.1,186.3,6.156,86.82,0,0,2.764
cotton,15.26,1164.3,56.0,75.8,133.9,9.413,74.85,0,1,1.08
maize,21.13,1385.11,81.8,80.4,58.8,5.895,91.0,1,1,2.891
cassava,24.99,1078.01,30.6,111.5,149.2,9.377,16.91,1,1,4.162
soybeans,20.74,1346.63,9.8,142.2,128.3,4.693,72.4,1,0,1.139
cotton,20.14,113.22,126.7,77.2,139.2,3.937,18.65,1,1,0.964
rice,38.98,303.44,90.7,39.4,148.5,8.549,71.91,1,1,4.044
cassava,38.51,101.36,104.4,95.0,54.9,6.798,25.14,1,0,10.339
wheat,38.71,882.19,22.2,77.5,84.2,6.616,30.95,1,0,1.24
wheat,17.49,245.03,111.7,37.0,36.1,7.55,20.63,0,0,1.793
soybeans,26.0,1006.26,5.8,106.0,17.4,6.544,85.18,1,0,1.122
cassava,21.82,917.83,52.4,57.5,31.6,9.615,78.54,0,1,3.968
rice,24.94,853.55,78.2,104.0,40.5,5.139,83.72,1,0,1.738
wheat,29.21,653.09,95.0,81.9,60.1,7.701,31.57,1,0,1.782
maize,16.28,122.47,118.1,142.4,163.6,9.05,34.81,1,0,1.726
rice,11.66,830.28,9.9,135.8,158.3,7.777,84.86,1,1,1.234
soybeans,16.25,1008.89,127.6,61.5,46.5,7.717,88.92,1,1,0.716
maize,37.63,1057.16,102.1,125.6,59.8,8.746,30.79,0,0,2.094
cotton,26.46,1363.93,127.8,12.7,21.0,5.093,35.94,0,0,0.984
maize,12.78,1135.16,128.0,65.8,56.7,6.324,76.22,0,1,2.364
cassava,29.88,1274.28,107.2,58.1,100.7,4.71,39.11,1,1,4.253
cassava,15.59,1092.79,93.6,109.7,42.8,4.524,34.34,0,1,3.691
maize,39.47,212.46,55.7,140.7,178.1,8.811,36.18,0,1,1.822
cotton,28.82,977.67,81.9,29.9,11.7,5.696,50.77,0,1,1.127
rice,29.83,518.21,67.4,91.4,86.0,4.789,96.7,1,1,2.721
cassava,36.49,380.16,125.4,52.8,66.9,8.224,40.2,0,0,5.828
cassava,19.34,79.39,107.6,61.1,168.2,8.104,85.27,0,0,7.674
soybeans,31.14,497.82,44.1,13.5,142.4,7.191,44.05,1,1,2.361
maize,30.77,673.4,94.2,43.6,66.3,8.628,52.39,1,1,2.494
rice,12.6,830.63,127.9,59.3,170.9,4.369,94.44,1,1,1.597
cotton,21.71,1075.06,136.1,28.5,87.1,4.118,34.84,0,1,1.059
soybeans,28.54,717.1,109.5,48.3,133.6,9.234,48.58,0,1,0.939
soybeans,22.53,1152.3,24.5,52.4,49.8,5.834,33.81,1,1,1.736
wheat,35.64,946.94,85.3,134.0,54.8,5.057,58.13,1,0,1.71
soybeans,37.25,498.75,136.7,44.4,195.7,3.848,75.0,1,0,0.725
rice,25.39,1022.58,118.6,6.3,85.6,9.397,77.67,1,1,1.535
cassava,21.58,542.53,88.8,87.7,63.7,4.471,45.7,1,1,5.069
maize,22.53,218.72,85.8,136.4,137.4,3.999,44.5,1,0,2.237
soybeans,16.14,1040.11,107.0,122.6,63.4,9.552,61.55,1,1,0.789
cotton,14.82,1161.6,8.2,122.7,193.4,7.898,32.32,0,0,0.883
cassava,33.37,776.35,50.9,65.5,82.7,9.74,80.06,0,0,4.157
cassava,33.1,844.91,75.5,17.4,87.2,7.048,53.73,1,1,4.535
cotton,30.97,177.39,99.8,141.2,112.5,6.74,30.11,1,1,1.268
rice,14.19,189.38,59.4,135.7,113.5,6.928,26.14,0,1,3.307
maize,35.34,512.7,116.0,10.2,124.3,4.995,24.37,0,1,2.479
cassava,13.57,907.22,135.7,26.9,175.6,8.067,80.56,0,0,2.811
rice,19.66,888.95,10.5,137.1,78.0,9.432,81.12,1,1,1.339
rice,19.32,718.41,94.4,80.8,173.7,8.451,19.01,1,1,2.462
cotton,10.87,1399.91,132.9,137.9,193.7,8.799,72.88,1,1,1.211
rice,13.77,470.11,33.4,34.9,87.2,8.076,32.7,0,0,2.436
rice,23.8,930.11,26.4,117.7,198.5,5.246,56.56,0,1,1.1
maize,14.47,493.13,122.7,144.5,78.7,6.416,76.1,1,1,2.614
soybeans,28.42,789.88,60.7,88.1,51.7,9.618,64.64,0,0,1.407
cassava,10.43,221.34,122.8,122.1,64.0,5.354,82.19,1,1,9.047
rice,34.8,205.03,70.7,102.6,122.4,8.913,20.22,1,1,4.335
soybeans,23.0,715.43,135.7,46.5,130.5,6.23,19.26,1,1,0.763
cotton,27.22,1469.93,63.4,136.3,187.9,5.149,48.56,1,1,1.307
cotton,26.66,92.9,87.9,60.3,6.9,7.88,75.27,1,0,0.83
cotton,28.49,867.23,24.6,143.6,89.4,4.131,24.37,1,1,1.104
cassava,13.75,1466.45,138.0,136.1,104.2,5.099,64.05,1,0,3.18
rice,32.22,1147.54,84.9,28.4,164.5,8.181,21.41,1,0,1.419
wheat,37.87,83.17,129.0,87.5,159.9,6.09,99.29,0,0,1.458
maize,28.05,1237.82,123.8,36.9,47.4,7.471,49.35,1,1,2.594
soybeans,23.03,611.63,117.8,35.7,151.8,8.424,50.05,0,0,0.811
cotton,22.98,111.0,19.4,16.1,122.8,4.713,56.88,0,1,0.698
rice,25.17,862.51,102.0,54.7,127.5,7.305,61.09,1,0,1.653
soybeans,36.14,444.76,11.3,97.0,135.8,4.117,41.42,1,1,1.725
cassava,36.38,1349.11,33.4,32.9,104.2,9.352,41.72,1,1,4.388
wheat,28.14,324.18,8.4,130.6,111.9,4.375,18.59,0,0,1.353
maize,39.0,1447.25,119.4,46.2,82.0,9.032,41.26,0,1,1.833
wheat,27.13,136.33,134.4,20.4,18.5,3.787,50.75,0,1,1.59
maize,23.96,137.21,78.7,139.1,40.1,7.985,31.28,1,0,2.415
rice,29.72,686.59,6.3,133.8,99.1,3.688,73.32,1,0,1.626
rice,17.27,295.13,108.5,23.2,95.8,6.795,73.12,1,1,4.124
wheat,22.18,1385.25,11.3,113.8,84.1,8.773,58.15,0,1,1.008
wheat,20.03,358.01,86.6,83.8,97.5,4.123,82.53,0,0,1.503
maize,17.69,369.94,19.3,125.3,105.0,7.887,34.56,1,1,1.957
wheat,28.69,628.03,8.4,54.8,159.4,7.499,45.2,0,1,1.598
rice,17.42,1135.14,36.7,128.4,183.4,4.777,66.79,0,0,1.165
rice,20.8,724.3,96.6,128.8,46.4,9.468,84.11,1,1,2.442
wheat,31.21,892.11,69.3,54.6,67.0,5.946,66.6,0,1,1.57
cotton,37.9,957.18,25.8,83.8,31.7,3.614,68.22,1,1,1.123
maize,30.21,309.92,97.2,37.1,28.5,4.574,14.17,1,1,2.694
rice,27.89,447.61,3.7,107.9,130.1,7.275,77.78,1,0,2.252
cassava,36.07,1156.78,121.6,7.8,53.7,4.085,52.02,1,0,3.926
soybeans,28.25,613.17,70.4,112.6,180.5,4.175,47.1,1,0,1.345
maize,23.32,81.77,42.1,75.4,16.2,6.692,93.73,0,1,2.015
maize,26.86,1423.28,69.5,58.3,37.6,8.61,77.16,0,0,1.842
rice,33.24,433.98,130.7,105.8,155.8,4.924,52.1,1,1,3.286
maize,13.31,469.32,43.4,40.0,108.0,6.981,44.69,0,1,1.983
cotton,21.35,1132.93,123.7,112.4,11.8,8.878,80.61,1,1,1.299
rice,20.66,121.28,4.3,82.6,157.4,6.993,86.31,0,0,2.605
wheat,33.97,1138.97,108.0,74.9,75.8,9.567,18.67,0,0,1.492
soybeans,12.54,1360.43,127.0,102.8,190.2,8.774,85.25,1,0,0.461
rice,34.15,586.34,90.8,106.6,46.9,9.25,67.0,1,0,2.467
cassava,32.87,1095.28,139.6,41.3,152.1,7.084,40.92,0,1,3.73
cotton,18.45,189.55,65.4,87.6,14.4,6.114,36.16,0,0,0.846
soybeans,36.82,770.1,76.2,138.9,182.3,4.602,54.7,1,0,1.148
cotton,37.62,898.16,109.1,110.4,56.6,5.516,55.15,0,0,1.036
rice,31.47,208.96,104.9,24.0,18.3,9.845,96.3,0,0,3.012
maize,19.03,463.02,5.2,90.3,105.5,3.835,37.96,1,0,1.551
rice,32.09,878.44,9.3,21.3,124.3,5.287,20.85,1,1,1.544
rice,15.36,539.73,58.6,76.2,100.4,5.259,16.51,1,0,2.737
wheat,39.13,1051.1,14.3,39.2,124.0,5.291,96.35,1,0,1.179
rice,12.9,1094.66,39.5,30.8,12.9,3.642,80.61,0,0,0.853
cotton,14.52,114.52,97.8,107.5,97.1,7.9,60.29,1,1,0.975
maize,26.24,174.75,8.0,19.8,122.1,7.038,34.1,1,1,1.76
wheat,12.21,557.74,87.4,31.9,34.7,5.405,16.76,1,0,2.362
cotton,31.86,935.96,11.4,94.3,100.4,9.575,38.88,1,1,0.976
wheat,10.84,1462.39,114.7,15.3,94.8,7.628,30.39,1,1,1.607
soybeans,13.03,1212.78,128.1,110.9,169.5,4.907,36.67,0,1,0.558
cassava,10.23,480.15,39.4,129.6,198.4,3.958,54.53,1,0,5.315
cassava,13.25,1443.85,105.0,93.4,68.3,4.546,49.2,1,1,4.173
maize,28.68,372.88,43.0,81.5,88.4,4.541,28.7,1,1,2.194
cotton,12.87,331.3,118.5,84.9,131.7,4.719,85.26,1,1,1.045
cotton,34.64,1229.0,47.2,140.0,9.4,8.497,97.04,0,1,1.254
cassava,18.7,1275.74,69.1,74.8,200.3,9.656,44.83,0,0,3.555
wheat,23.94,1278.31,131.3,64.6,191.4,4.549,27.49,1,1,1.498
rice,14.33,1150.52,70.1,132.6,34.3,7.699,34.03,0,1,1.47
maize,39.15,530.45,67.5,32.5,127.2,5.324,31.8,1,0,2.639
soybeans,20.83,1285.71,77.5,105.5,184.4,9.361,42.25,1,0,1.068
wheat,30.53,1254.73,46.6,37.7,171.5,9.29,49.26,0,1,1.445
maize,32.82,863.85,107.9,74.1,109.5,6.279,16.19,0,0,2.102
soybeans,23.25,817.33,62.9,74.0,64.7,4.533,18.07,0,1,1.379
maize,16.13,786.32,58.7,7.5,163.6,3.949,54.79,1,1,2.261
maize,11.37,1421.66,117.9,46.5,20.4,4.604,24.92,0,1,1.804
cassava,34.65,870.6,42.1,46.3,77.2,7.548,33.85,1,1,5.262
maize,15.01,1487.19,32.4,137.0,134.9,7.45,58.09,0,0,1.31
cotton,26.37,531.79,132.6,123.3,201.5,8.0,46.53,0,1,1.059
maize,21.82,994.29,14.9,97.1,204.9,3.813,98.04,1,1,2.043
maize,10.98,1385.23,86.3,116.5,101.3,4.263,24.77,1,0,1.832
cotton,23.67,1425.48,25.1,99.5,120.3,4.623,19.68,1,0,0.968
wheat,23.21,662.93,93.0,112.6,70.8,9.508,94.71,0,0,1.603
soybeans,16.98,944.48,71.3,143.8,201.6,7.628,52.09,1,1,1.566
wheat,11.81,206.23,109.9,32.8,10.8,9.42,90.61,0,1,1.75
wheat,28.49,1409.03,72.5,71.2,47.7,8.41,26.11,1,0,1.449
cassava,35.97,685.69,53.4,135.6,148.0,9.534,82.54,1,0,4.026
maize,12.04,486.4,99.1,14.4,121.4,5.748,67.4,0,1,2.474
soybeans,23.26,1000.09,47.6,50.2,89.9,4.446,85.48,0,0,1.267
cassava,12.6,132.57,52.4,69.9,126.8,3.542,99.12,0,1,9.537
cotton,13.42,507.39,12.7,62.0,187.3,8.58,76.17,1,1,0.812
wheat,36.81,328.82,12.2,92.8,83.8,4.559,24.07,1,0,1.331
wheat,34.56,409.76,43.2,123.3,103.6,8.88,46.2,0,0,1.527
cassava,36.19,348.03,5.7,99.1,74.0,3.614,35.62,0,1,5.5
wheat,17.55,866.15,81.6,85.8,20.4,8.399,92.21,1,1,2.21
rice,28.46,647.32,130.8,11.8,47.1,7.178,66.94,0,0,2.278
soybeans,25.18,838.37,66.0,42.6,16.2,6.156,18.52,1,0,1.585
cotton,16.11,1278.04,39.4,116.0,102.8,8.255,46.8,0,1,0.974
rice,38.97,597.16,36.2,39.1,96.6,8.437,31.71,1,0,1.792
soybeans,25.89,92.11,5.7,90.8,166.2,6.346,61.69,1,1,1.421
rice,28.08,1479.69,131.3,125.7,182.8,6.541,70.54,1,0,1.448
cassava,30.76,1241.23,90.4,61.3,99.4,8.159,89.36,0,0,3.691
soybeans,36.65,404.98,80.4,112.6,62.8,6.159,59.06,0,0,1.17
cotton,25.54,1324.41,125.3,68.5,96.1,6.849,58.68,1,1,1.423
maize,23.41,717.52,121.0,81.5,81.1,9.849,23.52,1,0,2.548
cotton,31.05,73.96,20.5,121.2,134.1,5.867,57.06,1,1,1.004
cotton,24.05,1378.14,82.0,34.4,61.8,9.483,50.73,1,0,1.134
rice,20.79,232.41,82.5,78.5,45.6,6.437,82.54,1,0,4.611
cotton,22.65,663.0,106.4,122.3,24.0,7.159,79.51,1,0,1.414
cotton,35.14,1441.62,84.8,78.8,8.5,3.969,27.43,0,0,1.01
cotton,15.46,131.53,132.7,5.5,200.4,8.238,42.25,1,1,0.882
wheat,17.67,823.11,39.2,80.9,146.6,8.274,28.16,1,1,1.822
wheat,33.21,1451.4,124.4,116.2,144.0,7.232,24.37,0,1,1.21
maize,16.86,969.83,31.1,50.0,174.6,8.238,22.2,1,0,1.951
maize,36.32,619.05,114.3,66.5,80.4,6.507,39.92,1,1,3.048
cassava,13.16,518.11,23.7,136.8,69.0,5.671,86.23,1,1,5.507
soybeans,30.16,415.68,45.5,121.9,157.4,5.639,59.92,0,0,1.518
maize,33.39,73.49,114.6,10.6,183.0,9.948,39.29,0,1,1.808
rice,15.17,1314.97,85.8,27.0,197.5,6.869,20.27,1,0,1.378
cotton,32.1,639.51,8.8,127.5,116.5,5.652,43.58,0,0,0.903
cassava,27.87,933.15,30.6,96.2,158.1,5.826,82.92,0,1,4.107
rice,29.46,1353.91,87.3,23.4,66.9,4.812,92.16,1,1,1.58
cotton,22.14,107.51,38.2,61.1,100.6,7.034,37.65,1,1,1.046
cotton,32.07,112.19,26.7,98.0,24.7,9.817,88.68,1,1,0.901
wheat,34.48,1472.77,92.4,92.5,68.9,3.633,30.49,1,0,1.049
wheat,18.53,1106.21,68.0,23.5,25.8,8.215,34.39,0,0,1.456
cotton,19.24,609.99,42.8,88.3,71.5,8.217,63.86,0,0,0.933
soybeans,25.58,966.39,112.1,68.3,168.5,6.969,43.11,1,1,0.778
cassava,24.73,657.89,40.8,118.1,101.3,7.757,30.28,1,0,4.971
maize,36.82,998.72,21.3,66.6,128.1,4.043,89.89,1,1,1.854
rice,11.84,906.83,138.5,28.4,14.3,8.567,35.72,1,1,1.239
wheat,30.84,827.75,84.6,110.7,150.2,3.782,83.02,1,0,2.064
rice,24.73,515.06,26.9,48.3,200.0,6.172,52.25,1,1,2.957
soybeans,31.88,1051.3,16.0,97.0,61.0,3.687,49.68,1,0,1.303
rice,26.11,1370.65,118.5,22.8,23.6,7.33,59.76,0,1,1.415
maize,31.94,1439.27,30.9,129.1,191.9,9.457,68.65,1,0,1.367
cassava,35.95,827.71,40.5,54.2,73.6,5.623,34.89,1,1,4.64
wheat,31.89,814.32,61.2,101.7,12.3,4.953,67.01,1,0,1.867
wheat,24.13,315.68,81.9,62.1,135.9,9.691,59.47,1,1,1.887
maize,18.14,1361.15,52.5,82.0,15.1,6.27,85.58,1,0,2.08
maize,35.52,863.77,73.3,21.1,177.0,8.198,19.82,1,1,2.679
soybeans,24.17,1062.55,60.7,33.3,47.8,3.538,39.88,1,1,1.521
rice,38.48,492.39,23.6,69.5,66.4,3.729,41.79,1,1,2.323
rice,17.73,702.42,97.0,107.6,204.1,5.369,60.29,1,0,2.311
wheat,20.75,1498.28,53.7,39.7,129.6,8.712,19.99,1,0,1.116
maize,24.69,652.39,3.4,52.0,40.4,4.14,96.28,1,1,2.352
soybeans,23.18,1131.82,28.7,56.9,131.8,3.618,76.13,1,0,1.508
maize,25.82,1093.06,124.6,16.1,151.3,4.718,87.8,1,1,2.571
maize,12.55,682.56,92.2,66.3,60.4,7.128,43.84,1,1,2.907
cassava,13.35,307.67,110.2,122.0,114.0,7.104,68.35,1,1,8.297
wheat,27.13,449.41,73.9,50.3,163.1,9.293,77.86,0,0,1.792
rice,38.53,82.19,42.5,133.9,69.2,5.14,59.94,1,0,2.973
cotton,25.15,734.22,62.9,51.9,111.7,6.442,17.16,0,0,1.2
soybeans,11.14,928.02,67.9,19.8,60.6,9.287,61.3,1,0,1.248
soybeans,32.6,852.43,50.7,56.1,180.9,3.755,98.97,1,1,1.735
cotton,11.4,830.25,32.9,47.2,54.0,7.726,61.6,0,1,0.983
soybeans,32.76,326.54,79.5,119.0,158.6,8.719,89.62,1,0,1.338
cotton,19.61,679.95,23.7,74.5,137.6,6.733,71.26,0,1,1.015
maize,11.97,1174.52,63.5,78.4,93.2,6.105,62.13,0,0,1.616
cotton,36.69,1068.74,8.4,98.9,53.2,5.549,30.85,1,1,1.059
cotton,13.24,843.02,106.9,85.6,170.3,4.329,51.46,1,1,1.282
maize,31.37,394.01,45.6,109.5,134.9,9.02,70.55,1,0,1.881
soybeans,32.7,1257.11,123.3,90.0,177.1,3.6,23.22,0,1,0.516
cassava,38.13,61.01,80.2,105.4,154.0,9.382,14.38,0,0,7.619
cassava,16.51,204.52,18.3,13.7,22.5,6.308,41.59,1,1,9.566
wheat,29.3,1322.91,57.4,63.6,110.4,3.624,56.71,0,1,1.33
cassava,10.46,1050.84,13.8,21.2,153.9,5.258,68.06,1,0,3.054
rice,16.51,591.78,46.6,29.7,126.5,6.598,88.45,0,1,2.365
wheat,28.67,1329.99,14.2,124.0,164.7,6.775,40.57,1,1,1.285
rice,25.15,94.22,18.5,129.1,155.3,6.249,58.47,0,1,2.581
soybeans,37.98,433.51,21.0,17.6,117.7,4.239,25.93,0,0,1.638
maize,15.76,518.89,31.7,54.7,18.9,6.874,19.81,1,0,2.387
cotton,12.42,1161.83,81.9,17.1,174.7,7.056,93.26,1,1,1.288
rice,18.67,175.06,131.1,57.9,120.3,8.648,41.89,1,0,3.122
wheat,15.36,732.99,130.7,52.9,130.8,3.579,75.16,1,1,2.162
cassava,39.11,549.78,49.0,81.0,81.7,3.509,76.93,1,1,5.42
cotton,19.11,918.79,66.0,52.2,79.9,5.911,97.63,0,1,1.142
wheat,32.09,875.47,93.7,109.4,31.6,4.803,73.22,1,0,1.834
wheat,10.81,181.36,21.9,24.1,56.9,6.452,45.97,1,1,1.579
cotton,39.09,843.63,64.3,51.4,136.5,4.994,23.02,0,0,1.135
soybeans,11.72,915.6,79.7,10.0,107.7,7.462,30.45,0,1,1.183
wheat,10.34,938.35,128.8,20.5,123.1,8.236,20.09,0,0,1.432
maize,34.61,990.68,58.7,69.1,56.3,8.389,58.11,0,1,2.107
cotton,12.79,1329.62,93.9,127.5,203.9,6.867,22.02,0,0,0.946
maize,22.72,1117.84,130.8,134.6,95.2,4.236,98.7,1,0,2.724
wheat,15.62,628.81,117.0,85.9,174.5,8.873,92.04,0,0,1.779
soybeans,27.25,1340.4,91.1,71.5,175.9,6.564,88.7,0,0,0.822
rice,36.27,1212.05,132.1,18.8,58.0,6.718,86.8,1,1,1.531
cassava,14.55,872.08,107.0,111.1,110.1,7.561,79.15,1,1,3.948
cotton,36.78,1165.24,139.5,40.6,102.6,5.037,67.56,0,0,1.017
wheat,10.81,1010.43,62.6,141.2,168.8,4.614,75.93,1,0,1.692
maize,11.18,444.4,0.9,142.0,198.1,6.069,76.64,0,1,1.797
rice,31.55,1166.63,64.7,105.0,152.2,4.399,97.09,1,0,1.366
cassava,37.82,1485.41,81.4,20.2,96.8,8.619,16.38,0,0,3.616
wheat,21.4,143.49,138.3,92.3,194.3,4.175,43.41,0,1,1.541
rice,32.81,1478.15,132.4,32.6,180.1,8.079,53.03,1,1,1.545
cassava,14.38,480.87,67.5,101.8,53.5,6.977,72.88,1,1,6.994
rice,38.3,804.33,94.8,114.0,31.2,7.406,16.95,1,0,1.832
wheat,14.1,1032.52,8.3,51.9,174.3,8.533,69.45,1,1,1.501
soybeans,28.04,1082.67,44.4,80.5,143.2,6.239,87.45,1,0,1.605
maize,17.45,1072.92,59.9,67.0,134.9,9.586,19.5,1,0,1.918
maize,34.78,195.92,33.6,24.9,74.6,6.427,78.4,1,1,1.897
cotton,35.13,141.93,41.8,6.4,144.1,7.532,69.47,0,0,0.814
cotton,29.6,733.05,20.1,76.1,186.4,4.536,73.32,1,1,0.963
wheat,11.77,824.5,109.6,18.2,7.4,8.795,75.26,1,1,2.219
cassava,39.9,193.48,95.6,40.4,83.4,7.699,51.54,0,0,8.814
rice,39.4,377.53,85.7,65.6,19.2,6.671,74.39,1,1,3.606
cassava,36.86,1199.11,105.1,10.1,164.8,4.397,33.13,1,0,3.939
rice,25.25,278.2,93.9,110.6,27.1,6.541,20.09,1,0,4.077
cassava,20.19,600.86,134.1,13.9,159.7,5.513,17.36,1,0,3.721
cassava,13.16,254.49,136.8,87.3,107.0,6.901,32.51,1,0,8.128
maize,10.79,85.08,116.4,43.2,108.6,5.442,94.9,0,0,1.439
cassava,35.61,1144.64,72.4,85.1,31.0,8.964,81.68,1,0,4.01
cotton,27.03,1387.59,87.8,25.4,92.3,7.756,74.22,1,0,1.225
soybeans,10.74,1367.6,72.6,15.5,27.1,5.993,94.86,1,1,1.041
maize,36.94,811.32,99.0,40.3,94.3,4.302,31.71,0,0,1.695
rice,26.47,1426.21,139.8,38.0,150.4,5.957,14.7,0,0,1.065
wheat,13.8,1005.12,31.7,7.7,88.7,5.518,41.4,1,1,1.677
maize,18.47,1428.17,81.4,66.1,121.0,6.859,79.25,0,0,1.839
rice,35.74,617.5,124.4,38.6,61.0,3.845,82.42,1,0,2.359
cassava,28.69,1118.3,48.9,137.2,146.9,6.242,50.68,1,1,4.944
cassava,37.84,806.59,26.9,42.3,81.8,7.551,51.84,0,1,3.722
cassava,30.31,1083.49,138.0,80.8,59.3,7.944,98.23,0,0,3.079
rice,28.8,570.18,139.4,72.2,102.2,7.178,92.84,1,0,2.558
rice,17.03,805.84,24.1,47.8,69.3,4.538,31.65,1,0,1.495
wheat,34.21,736.99,67.8,105.4,77.4,5.796,79.1,1,0,1.855
wheat,18.5,466.67,32.7,53.1,179.3,6.784,34.66,0,0,1.701
